,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p134,1.440997601,5.640375641,9,16,22.325,34.019,39.173,41.994,48.195,56.503,68.273,78.26,82.9,85.578,87.388,88.043,88.561,88.864,89.439,90.997,92.522
p14,0,0,1.351,2.243,2.245,2.248,2.253,2.259,2.269,2.283,2.301,2.322,2.343,2.364,2.385,2.404,2.421,2.439,2.46,2.486,2.525
p15,0,0,3.1,5.553,5.563,5.59,5.6,5.618,5.669,5.748,5.894,6.065,6.258,6.482,6.795,7.111,7.39,7.771,8.236,8.934,9.974
p16,0,0,3.076,5.045,5.046,5.126,5.247,5.466,5.842,6.502,7.563,8.917,10.547,12.243,13.918,15.271,16.141,17.069,17.909,18.732,20.111
p17,0,0,0.154,0.175,0.195,0.235,0.293,0.391,0.561,0.857,1.353,2.164,3.471,5.598,9.001,14.395,22.67,35.187,53.617,79.526,114.151
p18,0,0,6.985,10.144,11.976,14.714,16.007,17.019,19.368,22.891,28.122,33.936,40.476,47.872,56.094,65.458,75.615,87.34,101.006,117.126,136.423
p19,0,0,0,0,0,0,0,0.001,0.001,0.003,0.006,0.011,0.02,0.034,0.058,0.098,0.161,0.262,0.42,0.662,1.024
p2,4.25E-05,3.598774958,9.793,22.3,22.3,22.726,23.311,24.156,25.92,28.687,32.724,37.66,42.923,48.564,54.891,61.99,68.324,75.261,83.095,92.201,103.004
p20,0,0,1.098,1.966,3.099,4.575,6.187,7.947,9.964,12.221,14.649,17.128,19.666,22.494,25.688,29.595,34.619,41.443,50.806,63.316,79.345
p21,0,0,0.114,0.217,0.375,0.611,0.799,0.953,1.223,1.624,2.155,2.679,3.274,4.022,5.02,6.417,8.428,11.642,16.921,25.333,38.382
p22,0,0,1.289,1.835,1.864,1.896,1.923,1.948,1.981,2.022,2.07,2.118,2.161,2.207,2.252,2.299,2.348,2.414,2.503,2.642,2.882
p23,0,0,10.201,14.592,15.036,15.607,16.135,16.61,17.216,17.98,18.826,19.656,20.417,21.141,21.874,22.639,23.481,24.661,26.442,29.101,33.352
p24,0,0,23.668,36.407,44.333,55.177,60.236,62.577,68.856,78.25,91.549,103.115,113.57,123.025,131.417,138.454,143.101,147.704,152.304,156.315,160.832
p25,0,0,16.506,152.21,279.751,551.489,877.982,1111.684,1263.21,1358.458,1411.256,1434.298,1448.141,1456.179,1460.857,1466.817,1469.85,1473.911,1481.243,1494.717,1506.841
p26,0,0,1.086,13.302,31.16,64.246,94.135,107.364,114.523,118.974,121.847,123.354,123.973,124.608,124.899,125.43,125.677,125.842,126.18,126.875,127.49
p27,0.432030983,12.67567255,30.168,53.359,122.534,209.767,221.074,221.074,230.535,252.483,275.846,285.675,292.762,299.546,305.78,310.332,314.004,318.763,322.796,326.457,333.176
p28,7.941410686,257.0910799,490.754,784.218,1770.239,3211.677,3590.859,3605.812,3790.231,4187.043,4616.55,4829.365,4990.834,5150.87,5278.209,5430.349,5481.505,5570.847,5664.447,5751.554,5857.441
p29,0.033362992,3.953283745,3.858,4.996,9.51,19.076,25.464,25.596,29.016,33.309,36.885,38.374,39.392,40.246,41.048,41.99,42.274,43.018,43.589,44.08,44.56
p3,0.075701514,1.7785297,4.181,10.043,10.049,10.061,10.078,10.105,10.146,10.291,10.563,10.984,11.567,12.344,13.282,14.379,15.489,16.699,18.208,20.128,22.523
p30,2.435539638,48.87996376,80.903,125.621,283.675,553.41,674.17,674.17,723.452,783.288,845.928,873.947,896.404,911.011,932.961,949.42,954.276,965.344,977.818,990.493,1012.077
p31,0.65127812,21.37159267,43.043,64.399,133.701,278.853,430.905,545.173,692.903,872.537,1075.341,1204.96,1304.125,1402.359,1492.262,1558.137,1590.226,1634.659,1678.655,1712.505,1755.592
p32,0,0,25.179,36.122,36.17,36.229,36.294,36.406,36.944,37.747,38.941,40.662,43.07,46.085,50.696,56.582,63.364,67.493,70.827,74.071,76.936
p33,2.526042441,132.7315941,204.388,279.65,324.292,423.85,462.763,502.119,643.821,859.444,1158.532,1397.685,1590.534,1762.977,1944.635,2125.034,2218.137,2365.457,2510.594,2649.164,2818.276
p34,0.857821277,34.1684059,87.932,121.377,141.155,173.018,182.83,191.783,228.815,285.558,362.317,421.297,469.085,511.501,558.726,607.24,630.264,667.885,702.608,738.605,779.682
p35,0,0,0.197,0.236,0.249,0.268,0.294,0.332,0.387,0.469,0.588,0.761,1.003,1.353,1.834,2.504,3.386,4.54,6.03,7.905,10.22
p36,0,0,15.973,24.083,24.2,24.345,24.514,24.906,30.356,38.247,49.557,64.882,85.217,109.777,143.747,183.292,225.718,258.874,290.871,324.03,354.371
p37,0,0,19.3,28.968,29.17,29.361,29.535,29.954,40.11,55.085,76.672,107.041,148.264,199.906,268.434,348.199,432.49,500.671,563.79,627.648,686.552
p38,0,0,10.094,16.929,16.946,17.014,17.138,17.323,18.082,19.39,21.756,25.253,30.578,35.762,46.059,58.009,70.268,71.888,73.129,74.57,76.253
p39,0,0,5.999,9.161,10.295,12.891,16.991,22.781,34.687,35.23,36.237,37.362,38.787,39.73,42.703,45.1,46.457,47.091,47.724,48.397,49.163
p4,0.119576402,0.38937141,1.58,3.181,3.181,3.189,3.199,3.215,3.242,3.795,4.733,5.992,7.523,8.85,10.36,11.155,11.83,12.913,14.342,17.045,21.077
p40,0,0,26.839,40.099,42.878,48.588,59.347,76.628,112.891,119.858,129.967,142.301,158.997,169.71,197.78,221.218,236.231,237.993,239.9,242.706,246.257
p41,0,0,2.435,3.791,3.913,4.365,6.566,10.959,20.338,21.154,24.162,28.747,36.914,44.717,65.843,94.132,123.395,123.841,124.442,125.269,126.414
p42,0,0,2.867,13.071,13.102,13.269,14.335,16.582,26.26,44.302,74.54,120.344,183.866,258.998,357.589,448.628,515.408,530.219,536.837,545.922,555.367
p43,0,0,10.036,46.713,50.391,57.152,70.353,88.68,147.455,246.546,412.774,685.919,1113.84,1722.512,2623.207,3703.33,4808.918,5530.951,6083.757,6566.418,6916.793
p44,0,0,2.253,10.454,10.558,10.87,11.223,12.394,19.135,31.983,54.168,87.894,130.548,172.197,218.893,253.316,273.442,274.679,275.182,276.328,278.24
p45,0,0,0.704,1.763,3.046,7.085,13.523,19.695,27.411,38.013,63.725,119.2,213.029,367.224,624.373,923.626,1194.483,1354.488,1450.215,1511.34,1540.495
p46,0.037516039,2.141675603,3.145,4.563,5.618,7.479,10.338,14.944,22.483,34.691,53.962,83.849,127.649,189.638,271.927,373.577,481.912,590.509,692.024,787.19,867.837
p47,0.078073811,5.728407335,24.359,35.18,68.105,117.402,151.28,163.111,187.277,221.946,260.426,284.302,303.543,320.484,335.007,346.604,351.368,359.493,369.728,377.489,386.71
p48,0.015890803,2.982025329,13.047,31.015,42.412,69.606,96.662,114.153,138.675,168.759,208.162,231.615,247.44,257.741,269.866,277.272,281.996,286.192,293.107,300.992,310.451
p49,0,0,0.843,1.308,1.308,1.308,1.308,1.308,1.673,2.427,3.706,5.553,7.827,10.487,13.223,15.983,18.264,20.166,21.757,23.383,25.046
p5,5.718094633,41.9169796,49.964,80.406,95.55,100.192,107.821,120.387,142.905,179.186,230.131,289.851,351.35,409.283,458.139,499.479,531.346,564.406,598.787,636.639,685.501
p50,0,0,30.218,45.201,45.523,46.19,47.094,48.552,53.193,65.831,92.626,134.359,194.472,279.059,388.739,529.613,677.397,839.063,1010.273,1199.076,1398.113
p51,0,0,4.213,6.542,6.557,6.585,6.618,6.651,6.711,8.25,13.289,22.668,38.762,65.448,106.698,167.386,246.048,344.157,458.334,597.301,754.509
p52,0,0,2.963,4.748,4.82,4.975,5.205,5.504,7.242,9.807,13.125,16.215,19.334,20.602,25.595,29.404,32.17,34.439,37.472,41.489,46.737
p53,0,0,32.31,48.304,50.246,53.435,58.862,67.812,95.147,143.331,216.996,315.581,442.329,563.735,787.326,973.993,1078.804,1093.443,1110.604,1133.952,1163.084
p54,0.094914678,2.754555382,22.783,30.92,31.045,31.471,36.495,47.038,107.274,239.636,451.342,644.591,793.29,820.17,1017.917,1108.959,1129.738,1129.738,1129.738,1129.738,1129.738
p55,0.007026694,1.701282147,12.933,17.593,17.611,17.675,17.845,18.577,29.513,59.854,118.826,181.487,233.514,243.548,319.059,354.797,364.246,364.246,364.246,364.246,364.246
p56,0,0,1.536,1.983,1.985,2.056,2.113,2.213,2.536,3.329,4.991,7.699,12.039,18.888,29.177,44.288,65.132,92.901,127.782,169.384,216.303
p57,0.681239627,1.237219526,2.873,8.754,12.856,23.775,34.984,46.559,63.524,85.138,114.321,138.948,165.205,193.457,231.78,268.713,294.65,321.22,341.359,362.484,385.646
p58,2.973437518,3.310040121,25.545,63.024,63.8,71.305,71.711,72.18,75.79,90.056,133.952,224.97,323.05,386.185,432.982,471.029,509.967,537.4,570.172,602.717,631.748
p59,0.225905501,1.216504631,2.312,8.298,11.436,21.88,37.934,49.174,60.512,76.394,96.966,106.716,111.619,114.104,116.82,118.644,120.168,121.7,123.147,125.707,127.449
p6,0.246640299,9.779499557,15.416,28.377,37.774,46.698,57.2,71.052,92.824,122.23,158.081,192.968,222.745,245.312,263.058,274.454,284.664,294.505,305.823,317.338,330.03
p60,0.01193542,0.447235192,1.44,3.24,4.295,7.008,10.989,15.24,21.079,28.659,36.984,42.768,47.101,49.127,51.377,52.139,52.633,53.339,54.054,55.409,57.134
p61,0.007968921,0.746904448,1.565,4.286,6.462,9.579,12.779,17.062,24.712,35.463,48.97,61.235,71.648,79.288,84.885,87.73,89.282,90.819,92.073,94.29,96.166
p62,0.064115463,0.41323642,0.988,2.418,3.093,5.286,8.415,12.382,17.717,24.902,34.006,40.667,45.123,47.002,49.437,50.899,52.075,53.368,54.604,56.237,57.987
p63,0.201813968,12.24810532,28.438,83.914,123.472,232.939,336.832,430.756,619.399,909.178,1298.343,1575.01,1778.336,1936.043,2095.559,2212.366,2290.874,2361.042,2416.613,2496.648,2592.896
p64,0.017288812,5.864901897,9.84,26.675,32.707,46.581,63.634,84.543,116.702,162.388,218.833,262.857,301.76,337.962,389.687,435.117,467.769,488.51,508.622,528.053,549.041
p65,0.074564522,6.345614295,10.596,28.662,36.744,58.024,86.725,123.412,175.201,243.522,335.898,411.173,462.167,476.138,497.51,500.348,504.953,515.454,527.909,546.178,564.214
p66,0.00687512,2.876324151,4.819,11.933,13.486,17.757,20.802,22.056,25.866,32.532,44.391,59.405,83.252,121.405,170.786,214.282,245.899,270.901,290.773,308.856,329.928
p67,0.049593126,5.42192879,9.606,23.198,25.121,30.012,38.236,46.877,54.055,60.737,67.602,73.469,78.944,83.93,88.378,92.138,94.7,97.839,100.202,102.547,105.001
p68,0,0,2.663,12.799,13.845,15.982,19.376,24.198,36.333,53.824,80.173,121.119,182.263,260.885,359.14,448.517,510.237,523.431,529.406,538.225,546.416
p69,0,0,0.393,0.873,1.333,3.037,6.535,10.164,13.923,16.953,21.986,38.956,96.76,237.388,458.617,696.841,866.611,908.131,921.568,931.439,938.625
p7,0.042888671,1.603520842,3.27,5.307,6.421,6.644,6.991,7.519,8.264,9.308,10.602,12.066,13.606,15.304,16.835,18.523,20.177,21.888,23.698,25.577,27.62
p70,0,0,19.704,38.255,61.736,117.199,197.455,270.234,369.94,433.815,484.731,551.825,694.731,1002.033,1557.181,2240.365,2807.092,3068.244,3192.836,3273.943,3319.15
p71,0.048889458,0.2611806,2.684,3.599,3.599,3.667,3.743,3.841,5.867,10.491,20.425,33.607,46.598,49.346,67.32,76.98,79.713,79.713,79.713,79.713,79.713
p72,0.051234245,4.395968779,41.804,56.381,56.381,56.381,56.712,57.764,80.574,134.078,264.017,436.747,620.308,671.269,957.299,1118.388,1165.398,1165.398,1165.398,1165.398,1165.398
p73,0,0.247787902,2.894,3.883,3.883,3.883,3.977,4.303,8.31,17.034,31.926,47.72,61.41,64.02,83.941,92.797,94.634,94.634,94.634,94.634,94.634
p74,0,0,4.139,9.175,9.255,9.309,9.357,9.421,9.524,9.687,9.933,10.266,10.667,11.11,11.621,12.134,12.601,13.105,13.669,14.389,15.314
p75,0.049455912,2.342791084,2.463,3.65,4.987,7.204,10.569,15.916,24.548,38.344,59.991,92.804,140.083,204.642,286.723,383.341,482.328,578.056,666.482,750.843,824.804
p76,0.004075108,2.41498537,4.006,5.556,7.005,9.235,12.287,16.633,23.53,34.456,51.005,75.682,110.465,158.051,219.102,293.407,371.468,450.198,525.846,601.366,669.712
p77,0,0.829536661,1.368,1.942,2.96,4.49,5.672,7.422,10.217,15.069,22.823,33.966,49.497,69.935,96.248,127.578,159.861,191.406,220.868,249.213,274.479
p78,0.044142199,1.68559734,1.961,3.119,4.109,5.761,8.386,12.62,19.422,30.3,47.295,73.094,109.605,159.004,219.312,287.092,352.153,410.623,459.997,501.92,534.529
p79,0.101972038,4.785413941,5.768,9.598,13.509,19.753,29.395,44.5,68.452,106.102,164.458,251.687,374.932,539.708,743.086,972.263,1197.512,1407.015,1588.146,1748.064,1878.813
p8,0.819524,8.793521013,28.61,45.84,48.448,52.709,54.274,56.085,58.961,62.924,68.439,73.51,77.57,81.398,84.229,86.628,88.31,89.662,91.084,92.497,94.379
p80,0.355709642,8.406996517,11.044,19.229,19.989,21.259,22.33,23.824,27.841,35.433,49.229,73.772,110.595,166.929,251.814,380.422,566.998,600.201,643.842,702.808,777.148
p81,0.090199905,0.960017493,3.596,7.101,10.092,14.111,18.473,23.517,30.458,40.471,53.504,69.996,90.65,117.114,151.497,197.365,257.001,274.657,294.258,316.396,339.675
p82,0,0.338281606,0.817,1.479,1.816,2.341,2.914,3.58,4.533,6.039,8.028,10.605,13.863,18.276,24.285,32.654,44.106,46.413,49.204,52.54,56.215
p83,0.035923054,0.394704384,1.88,3.708,5.29,7.681,10.354,13.567,18.042,24.209,32.199,42.234,54.58,70.281,90.306,116.244,148.272,154.335,161.182,169.119,177.527
p84,0,0.93922519,8.784,11.822,11.822,12.233,13.964,18.138,33.142,56.201,94.636,134.716,167.646,173.468,223.998,247.824,257.047,257.047,257.047,257.047,257.047
p85,0,0,4.225,5.454,5.457,5.545,5.602,5.761,6.594,8.922,13.182,20.317,31.785,50.369,78.757,121.953,182.746,264.908,370.072,498.824,648.74
p86,0,0,5.118,12.743,12.743,12.746,12.751,12.775,12.864,13.585,14.836,15.811,16.494,16.985,17.618,18.071,18.389,18.655,19.089,19.62,20.375
p87,0,0,0.465,0.926,1.176,1.557,2.101,2.914,4.041,5.655,7.834,10.864,14.837,20.186,26.948,35.664,46.266,59.093,74.626,93.568,116.823
p88,0,0,0.082,0.141,0.146,0.154,0.165,0.18,0.203,0.237,0.286,0.365,0.479,0.648,0.894,1.262,1.793,2.561,3.67,5.262,7.535
p89,0,0,0.795,1.563,1.581,1.615,1.649,1.707,1.802,1.976,2.281,2.782,3.502,4.639,6.266,8.569,11.854,16.403,22.842,31.728,43.843
p9,430.9401092,716.7919976,1244.324,2336.607,2690.941,3151.064,3312.36,3499.763,3768.799,4159.177,4623.23,4979.549,5237.504,5428.778,5573.216,5686.04,5753.712,5812.8,5865.217,5912.739,5972.395
p90,0,0,1.107,2.176,2.177,2.189,2.194,2.212,2.269,2.387,2.702,3.26,4.127,5.525,7.628,10.888,15.677,22.567,32.48,46.484,66.069
p91,0.434143915,2.552060478,5.059,10.445,16.088,28.432,48.279,79.899,130.58,208.117,320.117,464.761,632.696,820.064,1007.162,1187.71,1325.23,1440.265,1549.484,1659.82,1758.4
p92,0.114763759,35.8,56.494,74.347,77.884,81.877,86.588,93.612,104.671,121.718,148.466,187.162,239.885,311.292,399.467,502.951,612.023,717.853,828.316,943.38,1067.063
p93,0,0,3.063,3.971,4.153,4.439,4.83,5.374,6.111,7.1,8.349,9.868,11.498,13.341,15.292,17.522,20.173,23.537,28.145,34.5,43.207
p94,0.872693419,21.5,29.56,36.65,48.606,78.505,137.77,242.268,395.242,585.764,774.973,917.88,1011.743,1080.461,1140.079,1189.388,1215.675,1242.077,1273.492,1318.181,1368.563
p95,0,0,0.442,16.266,45.724,110.171,226.978,388.697,421.276,463.109,508.524,544.367,571.452,593.276,612.951,626.947,635.489,645.078,657.107,672.096,684.312
p96,0,0,1.034,34.713,81.434,190.12,401.139,743.213,873.517,1014.245,1183.512,1290.627,1375.049,1424.706,1485.762,1526.846,1566.985,1628.169,1713.208,1816.911,1922.902
p97,1.601205543,22.69234846,65.064,87.915,192.359,427.459,752.278,1047.746,1446.8,1898.311,2427.18,2833.069,3246.195,3778.967,4333.015,4850.223,5117.468,5316.833,5550.642,5870.227,6189.51
p98,1.314698949,24.50765154,48.371,61.005,143.182,386.465,757.249,1193.485,1804.187,2500.666,3269.433,3796.692,4153.622,4479.732,4747.132,4957.118,5045.879,5136.976,5247.672,5384.316,5520.961
p99,0,0,7.245,22.031,25.762,28.936,33.049,38.927,47.906,61.937,82.914,111.975,149.385,198.642,259.086,332.556,412.965,497.62,584.558,672.845,762.212
