r,BATTERY|PVB,COAL|BIO,COMBINED_CYCLE,COMBUSTION_TURBINE|CONSUME|LFILL|OGS,NUCLEAR,TES|CSP
p12133,0.0001,-0.0523,-0.0398,-0.0328,0,0
p13001,0.0208,-0.0348,-0.0319,-0.0245,0,0
p13003,0.0077,-0.0454,-0.0369,-0.0291,0,0
p13005,0.0162,-0.0385,-0.0337,-0.0262,0,0
p13007,-0.0018,-0.0546,-0.0416,-0.0334,0,0
p13009,0.0193,-0.0063,-0.015,-0.0115,0,0
p13011,0.0183,0.0025,-0.0095,-0.007,0,0
p13013,0.02,0.0107,-0.0052,-0.004,0,0
p13015,0.0191,0.008,-0.0066,-0.0053,0,0
p13017,0.0106,-0.0376,-0.0326,-0.0256,0,0
p13019,0.0042,-0.0488,-0.0387,-0.0307,0,0
p13021,0.0174,-0.0072,-0.0154,-0.0122,0,0
p13023,0.0164,-0.0208,-0.023,-0.018,0,0
p13025,0.0173,-0.0406,-0.0353,-0.0276,0,0
p13027,-0.0047,-0.0616,-0.0455,-0.0364,0,0
p13029,0.0377,-0.0333,-0.0329,-0.0248,0,0
p13031,0.0343,-0.0299,-0.0303,-0.0229,0,0
p13033,0.0293,-0.0227,-0.0257,-0.0189,0,0
p13035,0.0193,0.0113,-0.0045,-0.0035,0,0
p13037,0.0012,-0.0485,-0.038,-0.0307,0,0
p13039,0.0183,-0.0409,-0.0357,-0.028,0,0
p13043,0.0283,-0.0278,-0.0287,-0.0217,0,0
p13045,0.0187,0.0093,-0.006,-0.0051,0,0
p13047,0.0163,-0.008,-0.0147,-0.0127,0,0
p13049,0.0126,-0.0444,-0.0368,-0.0287,0,0
p13051,0.0434,-0.0345,-0.034,-0.0256,0,0
p13053,0.0128,-0.019,-0.0214,-0.0176,0,0
p13055,0.0168,-0.0092,-0.0162,-0.0144,0,0
p13057,0.0195,0.0123,-0.0042,-0.0034,0,0
p13059,0.019,0.0045,-0.0085,-0.0065,0,0
p13061,0.005,-0.0415,-0.0342,-0.0277,0,0
p13063,0.02,0.0187,-0.0007,-0.0007,0,0
p13065,0.0065,-0.0486,-0.0386,-0.0306,0,0
p13067,0.02,0.0175,-0.0012,-0.001,0,0
p13069,0.0107,-0.0413,-0.0348,-0.0273,0,0
p13071,-0.0021,-0.0566,-0.0428,-0.0342,0,0
p13073,0.0227,-0.0142,-0.0193,-0.014,0,0
p13075,0.0002,-0.0543,-0.0413,-0.033,0,0
p13077,0.0191,0.012,-0.0044,-0.0037,0,0
p13079,0.0168,-0.0076,-0.0155,-0.012,0,0
p13081,0.0093,-0.0343,-0.0302,-0.0242,0,0
p13083,0.0155,-0.016,-0.0195,-0.0175,0,0
p13085,0.019,0.0073,-0.0067,-0.0053,0,0
p13087,-0.0069,-0.0641,-0.0469,-0.0376,0,0
p13089,0.02,0.019,-0.0005,-0.0005,0,0
p13091,0.0149,-0.0282,-0.0273,-0.0216,0,0
p13093,0.0122,-0.0262,-0.0259,-0.0207,0,0
p13095,0.0018,-0.0486,-0.0382,-0.0306,0,0
p13097,0.02,0.0163,-0.002,-0.0017,0,0
p13099,0.0001,-0.0517,-0.0397,-0.0323,0,0
p13101,0.0026,-0.0524,-0.0407,-0.0325,0,0
p13103,0.0426,-0.0324,-0.033,-0.0248,0,0
p13105,0.0181,-0.0053,-0.014,-0.0099,0,0
p13107,0.0254,-0.0242,-0.0262,-0.0198,0,0
p13109,0.0305,-0.031,-0.0307,-0.023,0,0
p13111,0.019,0.0004,-0.0099,-0.0077,0,0
p13113,0.02,0.0163,-0.0023,-0.0017,0,0
p13115,0.0177,-0.0016,-0.0118,-0.0106,0,0
p13117,0.0196,0.0122,-0.0042,-0.0032,0,0
p13119,0.018,-0.001,-0.0112,-0.0082,0,0
p13121,0.02,0.0183,-0.0009,-0.0007,0,0
p13123,0.019,0.0018,-0.0096,-0.0075,0,0
p13125,0.0223,-0.0127,-0.019,-0.014,0,0
p13127,0.0236,-0.0386,-0.0349,-0.027,0,0
p13129,0.0185,0.0005,-0.0105,-0.0086,0,0
p13131,-0.0077,-0.0661,-0.0477,-0.0384,0,0
p13133,0.0193,0.0011,-0.0107,-0.0081,0,0
p13135,0.02,0.0158,-0.0022,-0.0017,0,0
p13137,0.019,0.0022,-0.0093,-0.0067,0,0
p13139,0.0191,0.0079,-0.0069,-0.0053,0,0
p13141,0.0201,-0.0063,-0.0149,-0.0111,0,0
p13143,0.0186,0.0054,-0.0082,-0.0066,0,0
p13145,0.016,-0.0076,-0.0154,-0.0125,0,0
p13147,0.0175,-0.0047,-0.0135,-0.0095,0,0
p13149,0.0181,0.0047,-0.0083,-0.0071,0,0
p13151,0.02,0.016,-0.002,-0.0016,0,0
p13153,0.0153,-0.0177,-0.0213,-0.0167,0,0
p13155,0.0081,-0.0416,-0.0347,-0.0273,0,0
p13157,0.019,0.0061,-0.0076,-0.0057,0,0
p13159,0.0194,0.0068,-0.0074,-0.0057,0,0
